entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,HD,32.349998,32.380001,30.911902993007914,0.8273570805166871,time_exit,,
2010-04-01,2010-04-05,HD,32.380001,32.66,30.883260318614568,8.54641727775106,time_exit,,
2010-04-05,2010-04-06,HD,32.66,32.549999,30.618493570116353,-3.4677281047151536,time_exit,,
2010-04-06,2010-04-07,HD,32.549999,32.610001,30.72196714967641,1.743195134967507,time_exit,,
2010-04-07,2010-04-08,HD,32.610001,32.970001,30.665439108695523,10.938454123322675,time_exit,,
2010-04-08,2010-04-09,HD,32.970001,33.25,30.330602659065732,8.391689160094247,time_exit,,
2010-04-09,2010-04-12,HD,33.25,33.48,30.075187969924812,6.816601503759305,time_exit,,
2010-04-12,2010-04-13,HD,33.48,34.34,29.868578255675033,25.584408602150734,time_exit,,
2010-04-13,2010-04-14,HD,34.34,34.98,29.120559114735,18.535294117646867,time_exit,,
2010-04-14,2010-04-15,HD,34.98,35.139999,28.587764436821043,4.473556320754896,time_exit,,
2010-04-15,2010-04-16,HD,35.139999,35.009998,28.457598988548632,-3.7991463744777008,time_exit,,
2010-04-16,2010-04-19,HD,35.009998,35.169998,28.563269269538374,4.4696660708177305,time_exit,,
2010-04-19,2010-04-20,HD,35.169998,35.18,28.433325472466617,0.18436168236347542,time_exit,,
2010-04-20,2010-04-21,HD,35.18,35.27,28.425241614553723,2.458015918135401,time_exit,,
2010-04-21,2010-04-22,HD,35.27,35.720001,28.35270768358378,12.657470935639362,time_exit,,
2010-04-22,2010-04-23,HD,35.720001,36.389999,27.99551993293617,18.655066669790955,time_exit,,
2010-04-23,2010-04-26,HD,36.389999,36.490002,27.480077699370092,2.647815401148921,time_exit,,
2010-04-26,2010-04-27,HD,36.490002,35.290001,27.404766927664188,-32.98245914319216,stop_loss,,
2010-04-27,2010-04-28,HD,35.290001,35.189999,28.336638471616936,-2.9334371483864903,time_exit,,
2010-04-28,2010-04-29,HD,35.189999,35.560001,28.41716477457132,10.413356360140831,time_exit,,-0.08818533271551132
2010-04-29,2010-04-30,HD,35.560001,35.23,28.121484023580315,-9.37918983748068,time_exit,-0.08818533271551132,-0.19667114317417145
2010-04-30,2010-05-03,HD,35.23,35.869999,28.384899233607722,18.06449049389734,time_exit,-0.19667114317417145,-0.21119126677513123
2010-05-03,2010-05-04,HD,35.869999,35.419998,27.87845073539032,-12.64407617630545,time_exit,-0.21119126677513123,-0.10326077044010162
2010-05-04,2010-05-05,HD,35.419998,35.240002,28.232638522452767,-5.181253827287136,time_exit,-0.10326077044010162,-0.1311541050672531
2010-05-05,2010-05-06,HD,35.240002,33.959999,28.376842884401654,-36.41881177816033,stop_loss,-0.1311541050672531,-0.24171662330627441
2010-05-06,2010-05-07,HD,33.959999,33.43,29.44640840537127,-15.70500635173763,time_exit,-0.24171662330627441,-0.1962193101644516
2010-05-07,2010-05-10,HD,33.43,35.290001,29.91325157044571,55.53311396649707,take_profit,-0.1962193101644516,-0.10899978131055832
2010-05-10,2010-05-11,HD,35.290001,35.630001,28.336638471616936,9.53349363464182,time_exit,-0.10899978131055832,-0.041944101452827454
2010-05-11,2010-05-12,HD,35.630001,35.889999,28.066235529996195,7.196435388817504,time_exit,-0.041944101452827454,-0.14245909452438354
