entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,MSFT,29.290001,29.16,34.141344003368246,-4.537965020895698,time_exit,,
2010-04-01,2010-04-05,MSFT,29.16,29.27,34.29355281207133,3.6719135802468945,time_exit,,
2010-04-05,2010-04-06,MSFT,29.27,29.32,34.1646737273659,1.6080628629996825,time_exit,,
2010-04-06,2010-04-07,MSFT,29.32,29.35,34.106412005457024,0.9230900409277332,time_exit,,
2010-04-07,2010-04-08,MSFT,29.35,29.92,34.07155025553663,19.318841567291322,time_exit,,
2010-04-08,2010-04-09,MSFT,29.92,30.34,33.42245989304813,13.936029411764643,time_exit,,
2010-04-09,2010-04-12,MSFT,30.34,30.32,32.95978905735004,-0.759129861568872,time_exit,,
2010-04-12,2010-04-13,MSFT,30.32,30.450001,32.98153034300792,4.187203162928761,time_exit,,
2010-04-13,2010-04-14,MSFT,30.450001,30.82,32.84072141738189,12.049818980301511,time_exit,,
2010-04-14,2010-04-15,MSFT,30.82,30.870001,32.44646333549643,1.5221933776767744,time_exit,,
2010-04-15,2010-04-16,MSFT,30.870001,30.67,32.393908895564984,-6.578166291604486,time_exit,,
2010-04-16,2010-04-19,MSFT,30.67,31.040001,32.605151613955,11.962732308444682,time_exit,,
2010-04-19,2010-04-20,MSFT,31.040001,31.360001,32.21649380745832,10.208247090584834,time_exit,,
2010-04-20,2010-04-21,MSFT,31.360001,31.33,31.887754085211924,-1.056568843859481,time_exit,,
2010-04-21,2010-04-22,MSFT,31.33,31.389999,31.91828917969997,1.814873925949609,time_exit,,
2010-04-22,2010-04-23,MSFT,31.389999,30.959999,31.857280403226518,-13.797260710330056,time_exit,,
2010-04-23,2010-04-26,MSFT,30.959999,31.110001,32.29974264534052,4.744541493686762,time_exit,,
2010-04-26,2010-04-27,MSFT,31.110001,30.85,32.14400410980379,-8.45663746523181,time_exit,,
2010-04-27,2010-04-28,MSFT,30.85,30.91,32.414910858995135,1.8447001620745125,time_exit,,
2010-04-28,2010-04-29,MSFT,30.91,31.0,32.35198964736331,2.811387900355867,time_exit,,-0.07229658216238022
2010-04-29,2010-04-30,MSFT,31.0,30.540001,32.25806451612903,-14.937193551612896,time_exit,-0.07229658216238022,-0.05138034000992775
2010-04-30,2010-05-03,MSFT,30.540001,30.860001,32.7439412984957,10.377013409397081,time_exit,-0.05138034000992775,-0.14324823021888733
2010-05-03,2010-05-04,MSFT,30.860001,30.129999,32.40440594930635,-23.75291562369032,stop_loss,-0.14324823021888733,-0.13602304458618164
2010-05-04,2010-05-05,MSFT,30.129999,29.85,33.18951321571567,-9.392101207836088,time_exit,-0.13602304458618164,-0.22325223684310913
2010-05-05,2010-05-06,MSFT,29.85,28.98,33.50083752093802,-29.242814070351788,stop_loss,-0.22325223684310913,-0.10635245591402054
2010-05-06,2010-05-07,MSFT,28.98,28.209999,34.50655624568668,-26.667425807453437,stop_loss,-0.10635245591402054,-0.14625699818134308
2010-05-07,2010-05-10,MSFT,28.209999,28.940001,35.44842380178744,25.774832530125185,time_exit,-0.14625699818134308,-0.015394032932817936
2010-05-10,2010-05-11,MSFT,28.940001,28.879999,34.554248978775085,-2.173116714819644,time_exit,-0.015394032932817936,0.013115045614540577
2010-05-11,2010-05-12,MSFT,28.879999,29.440001,34.62603998012604,19.28871257578635,time_exit,0.013115045614540577,-0.01640329137444496
