entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,T,25.84,26.110001,38.69969040247678,10.347910212848323,time_exit,,
2010-04-01,2010-04-05,T,26.110001,26.309999,38.29950063962081,7.5590575465700205,time_exit,,
2010-04-05,2010-04-06,T,26.309999,26.309999,38.00836328424034,-0.10000000000000002,time_exit,,
2010-04-06,2010-04-07,T,26.309999,25.65,38.00836328424034,-25.18297321105952,stop_loss,,
2010-04-07,2010-04-08,T,25.65,26.02,38.98635477582846,14.323508771929863,time_exit,,
2010-04-08,2010-04-09,T,26.02,26.440001,38.431975403535745,16.03985395465024,time_exit,,
2010-04-09,2010-04-12,T,26.440001,26.379999,37.82148117165351,-2.3691375768101226,time_exit,,
2010-04-12,2010-04-13,T,26.379999,26.200001,37.90750712310489,-6.922593139597965,time_exit,,
2010-04-13,2010-04-14,T,26.200001,26.24,38.1679374745062,1.4265266631095976,time_exit,,
2010-04-14,2010-04-15,T,26.24,26.24,38.109756097560975,-0.09999999999999999,time_exit,,
2010-04-15,2010-04-16,T,26.24,25.93,38.109756097560975,-11.91284298780483,time_exit,,
2010-04-16,2010-04-19,T,25.93,26.379999,38.565368299267256,17.252641731585108,time_exit,,
2010-04-19,2010-04-20,T,26.379999,26.66,37.90750712310489,10.513078487986242,time_exit,,
2010-04-20,2010-04-21,T,26.66,26.34,37.50937734433608,-12.101800450112538,time_exit,,
2010-04-21,2010-04-22,T,26.34,26.27,37.96507213363705,-2.7572892938496687,time_exit,,
2010-04-22,2010-04-23,T,26.27,26.25,38.06623524933384,-0.8612485725161619,time_exit,,
2010-04-23,2010-04-26,T,26.25,26.27,38.095238095238095,0.6618285714285552,time_exit,,
2010-04-26,2010-04-27,T,26.27,25.950001,38.06623524933384,-12.279939097830198,time_exit,,
2010-04-27,2010-04-28,T,25.950001,25.91,38.53564398706574,-1.6413101486971107,time_exit,,
2010-04-28,2010-04-29,T,25.91,26.139999,38.595137012736394,8.775955233500556,time_exit,,-0.029405945912003517
2010-04-29,2010-04-30,T,26.139999,26.059999,38.255548517809814,-3.160137837036577,time_exit,-0.029405945912003517,0.05748922750353813
2010-04-30,2010-05-03,T,26.059999,26.280001,38.372986890751605,8.34128964855284,time_exit,0.05748922750353813,0.031941499561071396
2010-05-03,2010-05-04,T,26.280001,25.9,38.05174893258185,-14.558256675865424,time_exit,0.031941499561071396,0.01462665107101202
2010-05-04,2010-05-05,T,25.9,25.77,38.610038610038615,-5.118803088803051,time_exit,0.01462665107101202,-0.008850385434925556
2010-05-06,2010-05-07,T,25.139999,25.1,39.777248996708394,-1.6908910776010022,time_exit,0.010302194394171238,-0.004968264605849981
2010-05-10,2010-05-11,T,25.67,25.639999,38.955979742890534,-1.2686014764317166,time_exit,0.16745400428771973,-0.01183112058788538
2010-05-11,2010-05-12,T,25.639999,25.82,39.00156158352424,6.919618054587317,time_exit,-0.01183112058788538,-0.008410726673901081
