entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,UNH,32.669998,32.990002,30.60912339204918,9.69406241775703,time_exit,,
2010-04-01,2010-04-05,UNH,32.990002,33.139999,30.312213985315918,4.446286487039503,time_exit,,
2010-04-05,2010-04-06,UNH,33.139999,33.41,30.175015998039104,8.046469766036912,time_exit,,
2010-04-06,2010-04-07,UNH,33.41,32.93,29.9311583358276,-14.465519305597034,time_exit,,
2010-04-07,2010-04-08,UNH,32.93,32.619999,30.367446097783176,-9.5129972638931,time_exit,,
2010-04-08,2010-04-09,UNH,32.619999,32.259998,30.656040179522996,-11.135101500156296,time_exit,,
2010-04-09,2010-04-12,UNH,32.259998,32.259998,30.9981420333628,-0.1,time_exit,,
2010-04-12,2010-04-13,UNH,32.259998,32.16,30.9981420333628,-3.199442231831709,time_exit,,
2010-04-13,2010-04-14,UNH,32.16,31.049999,31.09452736318408,-34.611504972014835,stop_loss,,
2010-04-14,2010-04-15,UNH,31.049999,30.629999,32.206120199875045,-13.625217826899064,time_exit,,
2010-04-15,2010-04-16,UNH,30.629999,30.73,32.64773204857107,3.1644793720038606,time_exit,,
2010-04-16,2010-04-19,UNH,30.73,31.23,32.54149040026033,16.16911812561015,time_exit,,
2010-04-19,2010-04-20,UNH,31.23,30.98,32.02049311559398,-8.104322766570604,time_exit,,
2010-04-20,2010-04-21,UNH,30.98,30.26,32.278889606197545,-23.33847643641055,stop_loss,,
2010-04-21,2010-04-22,UNH,30.26,30.459999,33.046926635822864,6.508691345009856,time_exit,,
2010-04-22,2010-04-23,UNH,30.459999,30.950001,32.829941983911425,15.985128558277383,time_exit,,
2010-04-23,2010-04-26,UNH,30.950001,29.85,32.31017666202983,-35.6376725157456,stop_loss,,
2010-04-26,2010-04-27,UNH,29.85,29.799999,33.50083752093802,-1.7749078693467917,time_exit,,
2010-04-27,2010-04-28,UNH,29.799999,30.440001,33.55704810594121,21.374430244108368,time_exit,,
2010-04-28,2010-04-29,UNH,30.440001,31.299999,32.851510090292045,28.14940775133355,time_exit,,-0.24537354707717896
2010-04-29,2010-04-30,UNH,31.299999,30.309999,31.94888280986846,-31.726231042371552,stop_loss,-0.24537354707717896,-0.1310400813817978
2010-04-30,2010-05-03,UNH,30.309999,30.26,32.99241283379785,-1.7494226905121206,time_exit,-0.1310400813817978,-0.052736058831214905
2010-05-03,2010-05-04,UNH,30.26,29.49,33.046926635822864,-25.54358889623275,stop_loss,-0.052736058831214905,-0.113832987844944
2010-05-04,2010-05-05,UNH,29.49,30.0,33.909799932180405,17.19226856561552,time_exit,-0.113832987844944,-0.12636330723762512
2010-05-05,2010-05-06,UNH,30.0,29.24,33.333333333333336,-25.430800000000055,stop_loss,-0.12636330723762512,-0.09161387383937836
2010-05-06,2010-05-07,UNH,29.24,29.02,34.19972640218879,-7.623187414500647,time_exit,-0.09161387383937836,-0.12650032341480255
2010-05-07,2010-05-10,UNH,29.02,29.879999,34.45899379738112,29.531736736733357,time_exit,-0.12650032341480255,-0.16725187003612518
2010-05-10,2010-05-11,UNH,29.879999,29.85,33.467203261954594,-1.103882232392314,time_exit,-0.16725187003612518,-0.13934865593910217
2010-05-11,2010-05-12,UNH,29.85,30.32,33.50083752093802,15.643819095477348,time_exit,-0.13934865593910217,-0.034668128937482834
