entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,WMT,55.599998,55.490002,17.985612157755835,-2.078147560365064,time_exit,,
2010-04-01,2010-04-05,WMT,55.490002,55.490002,18.02126444327755,-0.1,time_exit,,
2010-04-05,2010-04-06,WMT,55.490002,55.529999,18.02126444327755,0.6207244342863715,time_exit,,
2010-04-06,2010-04-07,WMT,55.529999,55.279999,18.00828413485115,-4.601620826609416,time_exit,,
2010-04-07,2010-04-08,WMT,55.279999,55.380001,18.08972536341761,1.7088278149209715,time_exit,,
2010-04-08,2010-04-09,WMT,55.380001,55.07,18.057059984524017,-5.697146881597199,time_exit,,
2010-04-09,2010-04-12,WMT,55.07,55.02,18.158707100054475,-1.0078445614671718,time_exit,,
2010-04-12,2010-04-13,WMT,55.02,54.720001,18.175209014903672,-5.5519992748091544,time_exit,,
2010-04-13,2010-04-14,WMT,54.720001,54.639999,18.274853467199314,-1.5618786246001777,time_exit,,
2010-04-14,2010-04-15,WMT,54.639999,54.130001,18.301610876676627,-9.432851565388994,time_exit,,
2010-04-15,2010-04-16,WMT,54.130001,54.110001,18.47404362693435,-0.46944392445149086,time_exit,,
2010-04-16,2010-04-19,WMT,54.110001,54.389999,18.480871955629794,5.0740897251139625,time_exit,,
2010-04-19,2010-04-20,WMT,54.389999,54.52,18.385733009482127,2.2899246605979897,time_exit,,
2010-04-20,2010-04-21,WMT,54.52,54.470001,18.34189288334556,-1.0169845946441616,time_exit,,
2010-04-21,2010-04-22,WMT,54.470001,54.490002,18.3587292388704,0.26715622421217683,time_exit,,
2010-04-22,2010-04-23,WMT,54.490002,54.529999,18.351990517453093,0.6339511622700916,time_exit,,
2010-04-23,2010-04-26,WMT,54.529999,54.040001,18.338529586255817,-9.084944235924157,time_exit,,
2010-04-26,2010-04-27,WMT,54.040001,54.040001,18.50481090849721,-0.1,time_exit,,
2010-04-27,2010-04-28,WMT,54.040001,53.610001,18.50481090849721,-8.056272983784728,time_exit,,
2010-04-28,2010-04-29,WMT,53.610001,53.700001,18.653235988561164,1.5786233598466712,time_exit,,0.13780035078525543
2010-04-29,2010-04-30,WMT,53.700001,53.639999,18.621973582458594,-1.2172439233287395,time_exit,0.13780035078525543,0.14244116842746735
2010-04-30,2010-05-03,WMT,53.639999,53.740002,18.642804225257347,1.764149917303202,time_exit,0.14244116842746735,0.03617522865533829
2010-05-03,2010-05-04,WMT,53.740002,54.02,18.608112444804153,5.109713244893556,time_exit,0.03617522865533829,0.0765506699681282
2010-05-04,2010-05-05,WMT,54.02,54.77,18.511662347278783,13.78235838578304,time_exit,0.0765506699681282,0.046849340200424194
2010-05-05,2010-05-06,WMT,54.77,53.23,18.25817053131276,-28.21477085995994,stop_loss,0.046849340200424194,-0.13381659984588623
2010-05-06,2010-05-07,WMT,53.23,52.400002,18.786398647379297,-15.691114037196998,time_exit,-0.13381659984588623,-0.23466436564922333
2010-05-07,2010-05-10,WMT,52.400002,52.580002,19.0839687372531,3.3347708612682827,time_exit,-0.23466436564922333,-0.11042290180921555
2010-05-10,2010-05-11,WMT,52.580002,52.459999,19.018637542083013,-2.382065331606434,time_exit,-0.11042290180921555,-0.150961235165596
2010-05-11,2010-05-12,WMT,52.459999,52.48,19.06214294819182,0.28122379491454996,time_exit,-0.150961235165596,-0.10415738075971603
