entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,NVDA,17.4,17.219999,57.4712643678161,-10.443850568965356,time_exit,,
2010-04-01,2010-04-05,NVDA,17.219999,17.48,58.07201266387994,14.99727148648493,time_exit,,
2010-04-05,2010-04-06,NVDA,17.48,17.049999,57.20823798627002,-24.697139582379904,stop_loss,,
2010-04-06,2010-04-07,NVDA,17.049999,17.16,58.651029832904975,6.351026765456142,time_exit,,
2010-04-07,2010-04-08,NVDA,17.16,16.879999,58.27505827505828,-16.415442884615306,time_exit,,
2010-04-08,2010-04-09,NVDA,16.879999,16.99,59.24170967071739,6.415995640757852,time_exit,,
2010-04-09,2010-04-12,NVDA,16.99,17.299999,58.85815185403179,18.14414361977641,time_exit,,
2010-04-12,2010-04-13,NVDA,17.299999,17.66,57.803471549333615,20.707226630475553,time_exit,,
2010-04-13,2010-04-14,NVDA,17.66,17.879999,56.625141562853905,12.356228771234507,time_exit,,
2010-04-14,2010-04-15,NVDA,17.879999,18.01,55.92841476109702,7.170022772372639,time_exit,,
2010-04-15,2010-04-16,NVDA,18.01,17.059999,55.52470849528039,-52.84325374236536,stop_loss,,
2010-04-16,2010-04-19,NVDA,17.059999,16.98,58.616650563695806,-4.788804501102304,time_exit,,
2010-04-19,2010-04-20,NVDA,16.98,17.040001,58.89281507656066,3.4332744346289603,time_exit,,
2010-04-20,2010-04-21,NVDA,17.040001,16.6,58.6854425654083,-25.919071248880723,stop_loss,,
2010-04-21,2010-04-22,NVDA,16.6,16.67,60.24096385542168,4.116445783132547,time_exit,,
2010-04-22,2010-04-23,NVDA,16.67,16.440001,59.98800239952009,-13.89580084583101,time_exit,,
2010-04-23,2010-04-26,NVDA,16.440001,16.6,60.82724690831832,9.631325448216378,time_exit,,
2010-04-26,2010-04-27,NVDA,16.6,16.129999,60.24096385542168,-28.41048192168674,stop_loss,,
2010-04-27,2010-04-28,NVDA,16.129999,16.16,61.9962840667256,1.7597645232339203,time_exit,,
2010-04-28,2010-04-29,NVDA,16.16,16.65,61.88118811881188,30.2187499999999,time_exit,,-0.052662476897239685
2010-04-29,2010-04-30,NVDA,16.65,15.71,60.06006006006007,-56.55081081081068,stop_loss,-0.052662476897239685,-0.046826913952827454
2010-04-30,2010-05-03,NVDA,15.71,15.54,63.653723742838956,-10.920050922979103,time_exit,-0.046826913952827454,-0.12578845024108887
2010-05-03,2010-05-04,NVDA,15.54,14.75,64.35006435006436,-50.93146718146713,stop_loss,-0.12578845024108887,-0.18676844239234924
2010-05-04,2010-05-05,NVDA,14.75,14.5,67.79661016949153,-17.047457627118646,time_exit,-0.18676844239234924,-0.1877075880765915
2010-05-05,2010-05-06,NVDA,14.5,14.2,68.96551724137932,-20.787586206896602,stop_loss,-0.1877075880765915,-0.2453884780406952
2010-05-06,2010-05-07,NVDA,14.2,13.96,70.42253521126761,-16.99971830985905,time_exit,-0.2453884780406952,-0.32908231019973755
2010-05-07,2010-05-10,NVDA,13.96,14.56,71.63323782234957,42.87564469914038,take_profit,-0.32908231019973755,-0.14533297717571259
2010-05-10,2010-05-11,NVDA,14.56,14.4,68.68131868131869,-11.087912087912098,time_exit,-0.14533297717571259,-0.16066396236419678
2010-05-11,2010-05-12,NVDA,14.4,14.68,69.44444444444444,19.342499999999955,time_exit,-0.16066396236419678,-0.12116887420415878
