timestamp,equity
2013-04-01,9999.9
2013-04-02,9995.391735386143
2013-04-03,10027.839925787403
2013-04-04,10058.874897215974
2013-04-05,10070.494882443161
2013-04-08,10050.581665217414
2013-04-09,10040.699207116855
2013-04-10,10077.351482408318
2013-04-11,10093.471939426816
2013-04-12,10071.147100026386
2013-04-15,10038.83352338405
2013-04-16,10053.71497134785
2013-04-17,10042.743351737894
2013-04-18,10007.248419875523
2013-04-19,10008.605251270741
2013-04-22,10017.731912759276
2013-04-23,10017.916972454503
2013-04-24,10022.720359671592
2013-04-25,10023.669153200937
2013-04-26,10050.62791475636
2013-04-29,10055.26914380664
2013-04-30,10084.347164562754
2013-05-01,10071.904960745685
2013-05-02,10127.842219225451
2013-05-03,10104.86230818714
2013-05-06,10078.525783063984
2013-05-07,10053.663722857236
2013-05-08,10062.016307771799
2013-05-09,10058.866750358435
2013-05-10,10045.354435765694
