timestamp,equity
2010-03-31,9999.9
2010-04-01,10001.393189179294
2010-04-05,10013.025157851946
2010-04-06,10012.639544324147
2010-04-07,10001.857683152082
2010-04-08,10008.037153979629
2010-04-09,10012.31181401876
2010-04-12,10012.297427546557
2010-04-13,10010.241692436628
2010-04-14,10023.800060117148
2010-04-15,10018.281424560704
2010-04-16,10009.231138249606
2010-04-19,10006.984812593928
2010-04-20,10005.29359326556
2010-04-21,10007.707185502304
2010-04-22,10000.2453044162
2010-04-23,10011.111540474441
2010-04-26,10017.589945419035
2010-04-27,9998.77774421512
2010-04-28,9999.14106816936
2010-04-29,9991.434273737925
2010-04-30,9974.027200146373
2010-05-03,9988.06481909289
2010-05-04,9948.597203100333
2010-05-05,9954.12332914505
2010-05-06,9902.97800803016
2010-05-07,9902.87800803016
2010-05-10,9953.389801343312
2010-05-11,9939.341938986008
2010-05-12,9962.683513208263
