timestamp,equity
2010-03-31,9999.9
2010-04-01,10031.795555555555
2010-04-05,10050.732397660817
2010-04-06,10057.57394695659
2010-04-07,10073.689331571975
2010-04-08,10098.71616643436
2010-04-09,10116.411468447783
2010-04-12,10135.989710206024
2010-04-13,10131.479796412921
2010-04-14,10198.372653555778
2010-04-15,10173.834316841781
2010-04-16,10121.664462371926
2010-04-19,10191.632883424558
2010-04-20,10209.873662113083
2010-04-21,10201.626177203625
2010-04-22,10189.257008846627
2010-04-23,10187.003826095088
2010-04-26,10135.368640909903
2010-04-27,10076.60616802487
2010-04-28,10101.749255582474
2010-04-29,10126.265884795956
2010-04-30,10084.403384795954
2010-05-03,10093.35578754195
2010-05-04,10059.145583460317
2010-05-05,10040.168118671583
2010-05-06,10006.478644987372
2010-05-07,9996.378644987371
2010-05-10,10051.173144987371
2010-05-11,10039.125988589267
2010-05-12,10041.423830315885
