timestamp,equity
2010-03-31,9999.9
2010-04-01,10016.396166278108
2010-04-05,10015.3318335152
2010-04-06,10014.374917765843
2010-04-07,9995.886671411692
2010-04-08,10004.284632041148
2010-04-09,10015.341556542338
2010-04-12,10022.382564121488
2010-04-13,10017.890676673089
2010-04-14,10033.531327433508
2010-04-15,10035.346774033009
2010-04-16,10028.794852178527
2010-04-19,10020.81731338199
2010-04-20,10030.603427750993
2010-04-21,10020.622311641937
2010-04-22,10042.00290934989
2010-04-23,10057.042051829805
2010-04-26,10050.734411030233
2010-04-27,10018.766723533357
2010-04-28,10025.666648448901
2010-04-29,10017.02821247559
2010-04-30,9988.927566059947
2010-05-03,9978.08908697888
2010-05-04,9967.808387630363
2010-05-05,9945.657398223922
2010-05-06,9904.850537182618
2010-05-07,9897.053648428471
2010-05-10,9941.912051093943
2010-05-11,9941.812051093943
2010-05-12,9959.671033130113
