timestamp,equity
2010-03-31,9999.9
2010-04-01,9995.618775510204
2010-04-05,9984.88118768819
2010-04-06,9988.231069350912
2010-04-07,9994.516329161363
2010-04-08,9998.416622078761
2010-04-09,10004.633775306133
2010-04-12,10006.752441967003
2010-04-13,10000.190961716076
2010-04-14,9993.588808049022
2010-04-15,9988.702692056051
2010-04-16,9977.320702656403
2010-04-19,9976.525643085268
2010-04-20,9974.538984472203
2010-04-21,9964.793399746666
2010-04-22,9957.36520697558
2010-04-23,9983.254830761989
2010-04-26,9977.733068491143
2010-04-27,9956.132057795543
2010-04-28,9960.184488175399
2010-04-29,9979.946192956904
2010-04-30,9971.44322786218
2010-05-03,9982.60578834439
2010-05-04,10003.10153050879
2010-05-05,9998.266999801952
2010-05-06,9972.458385133732
2010-05-07,9955.533594219753
2010-05-10,9988.137180653748
2010-05-11,9988.525357124336
2010-05-12,9981.859219558197
