timestamp,equity
2010-03-31,9999.9
2010-04-01,10007.732615423116
2010-04-05,10011.994999727789
2010-04-06,10036.229211092435
2010-04-07,10027.046249224933
2010-04-08,10034.347843473135
2010-04-09,10036.319484804193
2010-04-12,10039.834252724155
2010-04-13,10031.307015924202
2010-04-14,10066.251150605747
2010-04-15,10072.961487354856
2010-04-16,10044.414663809835
2010-04-19,10058.340984017872
2010-04-20,10078.429657552093
2010-04-21,10058.047614807005
2010-04-22,10075.113504965495
2010-04-23,10071.93578031259
2010-04-26,10049.037960715816
2010-04-27,10018.278609577654
2010-04-28,10041.090243335902
2010-04-29,10064.924788052866
2010-04-30,10061.113984559035
2010-05-03,10084.167472228817
2010-05-04,10056.225206229474
2010-05-05,10047.525782774725
2010-05-06,10002.014943828
2010-05-07,9990.270235681752
2010-05-10,10059.823188306671
2010-05-11,10057.803503803172
2010-05-12,10080.390650567073
