timestamp,equity
2010-03-31,9999.9
2010-04-01,10032.495355128138
2010-04-05,10044.463853179464
2010-04-06,10044.263853179464
2010-04-07,10028.034287534887
2010-04-08,10029.230668306445
2010-04-09,10024.615014776486
2010-04-12,10009.592217647436
2010-04-13,10013.77560617508
2010-04-14,10020.534967039514
2010-04-15,10006.981101216574
2010-04-16,9970.688760159726
2010-04-19,9965.808309306067
2010-04-20,9965.608309306066
2010-04-21,9935.832072779192
2010-04-22,9962.284118357458
2010-04-23,9950.408242583544
2010-04-26,9960.765306695084
2010-04-27,9907.709897562134
2010-04-28,9911.974270398263
2010-04-29,9927.853235385293
2010-04-30,9899.477952682968
2010-05-03,9875.581116676125
2010-05-04,9831.311750143188
2010-05-05,9830.402557324087
2010-05-06,9810.187481235645
2010-05-07,9789.129028091238
2010-05-10,9861.565709407212
2010-05-11,9830.29638527204
2010-05-12,9830.19638527204
