timestamp,equity
2010-03-31,9999.9
2010-04-01,10018.030993987395
2010-04-05,10008.549277827571
2010-04-06,10015.446807438657
2010-04-07,10011.018276407603
2010-04-08,10020.726628621645
2010-04-09,10035.944291378453
2010-04-12,10026.634159112029
2010-04-13,10025.041180524873
2010-04-14,10034.884846816725
2010-04-15,10040.209183677931
2010-04-16,10024.351409812973
2010-04-19,10033.639603545142
2010-04-20,10043.668136034968
2010-04-21,10044.015426660384
2010-04-22,10049.832275516597
2010-04-23,10049.904189602294
2010-04-26,10056.49883470165
2010-04-27,10036.86230715134
2010-04-28,10035.836426091317
2010-04-29,10061.260757157055
2010-04-30,10050.852186773083
2010-05-03,10070.194233458751
2010-05-04,10044.171443946578
2010-05-05,10009.812520743517
2010-05-06,9971.98181899479
2010-05-07,9954.141770906577
2010-05-10,10010.206751448331
2010-05-11,10023.323554706569
2010-05-12,10005.50794968612
