timestamp,equity
2010-03-31,9999.9
2010-04-01,9989.977129143412
2010-04-05,9994.489973000946
2010-04-06,10004.062256034566
2010-04-07,10006.959120146064
2010-04-08,10003.67181794614
2010-04-09,10015.085019653457
2010-04-12,10017.563741524054
2010-04-13,10023.088321462048
2010-04-14,10024.026689587285
2010-04-15,10017.004096447687
2010-04-16,10007.263066277497
2010-04-19,10016.310695978937
2010-04-20,10014.58351009223
2010-04-21,10019.736741445959
2010-04-22,10017.635029844654
2010-04-23,10026.580456673923
2010-04-26,10026.002813173167
2010-04-27,10007.293178922708
2010-04-28,10002.474741659427
2010-04-29,10006.527912423033
2010-04-30,10002.577777496188
2010-05-03,10002.477777496188
2010-05-04,9962.29711621591
2010-05-05,9960.895874670005
2010-05-06,9919.400848262427
2010-05-07,9898.291187032815
2010-05-10,9939.949410018718
2010-05-11,9931.550229682549
2010-05-12,9948.29764527381
