timestamp,equity
2010-03-31,9999.9
2010-04-01,10000.627357080515
2010-04-05,10009.073774358265
2010-04-06,10005.50604625355
2010-04-07,10007.149241388517
2010-04-08,10017.98769551184
2010-04-09,10026.279384671934
2010-04-12,10032.995986175692
2010-04-13,10058.480394777844
2010-04-14,10076.91568889549
2010-04-15,10081.289245216243
2010-04-16,10077.390098841764
2010-04-19,10081.759764912582
2010-04-20,10081.844126594944
2010-04-21,10084.202142513079
2010-04-22,10096.759613448718
2010-04-23,10115.314680118508
2010-04-26,10117.862495519657
2010-04-27,10084.780036376465
2010-04-28,10081.746599228078
2010-04-29,10092.059955588218
2010-04-30,10082.580765750738
2010-05-03,10100.545256244635
2010-05-04,10087.801180068329
2010-05-05,10082.51992624104
2010-05-06,10046.00111446288
2010-05-07,10030.196108111142
2010-05-10,10085.62922207764
2010-05-11,10095.062715712282
2010-05-12,10102.1591511011
