timestamp,equity
2010-03-31,9999.9
2010-04-01,10010.147910212847
2010-04-05,10017.606967759417
2010-04-06,10017.406967759416
2010-04-07,9992.123994548356
2010-04-08,10006.347503320285
2010-04-09,10022.287357274934
2010-04-12,10019.818219698123
2010-04-13,10012.795626558525
2010-04-14,10014.122153221635
2010-04-15,10013.922153221634
2010-04-16,10001.909310233828
2010-04-19,10019.061951965414
2010-04-20,10029.475030453399
2010-04-21,10017.273230003286
2010-04-22,10014.415940709436
2010-04-23,10013.454692136918
2010-04-26,10014.016520708346
2010-04-27,10001.636581610515
2010-04-28,9999.895271461817
2010-04-29,10008.571226695318
2010-04-30,10005.311088858281
2010-05-03,10013.552378506834
2010-05-04,9998.894121830968
2010-05-05,9993.775318742166
2010-05-06,9993.675318742165
2010-05-07,9991.984427664565
2010-05-10,9991.884427664565
2010-05-11,9990.515826188133
2010-05-12,9997.435444242721
