timestamp,equity
2010-03-31,9999.9
2010-04-01,9985.182396522541
2010-04-05,9998.486201715677
2010-04-06,10023.117152654502
2010-04-07,10019.962424516203
2010-04-08,10048.212393197295
2010-04-09,10057.809684263577
2010-04-12,10064.458257328644
2010-04-13,10094.867499421005
2010-04-14,10105.667444421004
2010-04-15,10137.564344970346
2010-04-16,10095.196762352129
2010-04-19,10107.103366650423
2010-04-20,10106.359647208132
2010-04-21,10055.566336501204
2010-04-22,10070.837453104577
2010-04-23,10066.123231630863
2010-04-26,10051.752312460176
2010-04-27,10024.528044080402
2010-04-28,10014.281767484657
2010-04-29,10027.214722714509
2010-04-30,10001.08932341425
2010-05-03,10026.295129499802
2010-05-04,9988.930647922485
2010-05-05,9999.146272922484
2010-05-06,9964.383325681732
2010-05-07,9924.614418646555
2010-05-10,9992.425929437923
2010-05-11,9997.124398513244
2010-05-12,10000.580279079972
