timestamp,equity
2010-03-31,9999.9
2010-04-01,10006.84208752516
2010-04-05,10017.552125708466
2010-04-06,10021.129351629825
2010-04-07,10015.55354517821
2010-04-08,10018.59641004848
2010-04-09,10016.241506909746
2010-04-12,10026.299606267197
2010-04-13,10038.925796145668
2010-04-14,10059.831810868305
2010-04-15,10067.382973659003
2010-04-16,10040.006153151311
2010-04-19,10038.224972245607
2010-04-20,10041.192501122718
2010-04-21,10042.571343222717
2010-04-22,10038.167875235511
2010-04-23,10044.299642716684
2010-04-26,10056.15921272717
2010-04-27,10024.874340639872
2010-04-28,10038.041986983848
2010-04-29,10066.335125327218
2010-04-30,10033.814140201512
2010-05-03,10054.820872910592
2010-05-04,10019.318069172274
2010-05-05,9993.286422240088
2010-05-06,9949.4443227981
2010-05-07,9924.405673182926
2010-05-10,9992.919302834207
2010-05-11,9990.502174359546
2010-05-12,10014.744229909546
