timestamp,equity
2010-03-31,9999.9
2010-04-01,10016.785381297605
2010-04-05,10083.11207374258
2010-04-06,10125.163091567283
2010-04-07,10081.306703850401
2010-04-08,10107.442900361471
2010-04-09,10114.452249275415
2010-04-12,10123.472438880615
2010-04-13,10161.73937758623
2010-04-14,10175.314348483716
2010-04-15,10166.664765490672
2010-04-16,10148.961102753054
2010-04-19,10142.783445015777
2010-04-20,10169.349624893517
2010-04-21,10168.116123073136
2010-04-22,10320.464638223188
2010-04-23,10315.078144352135
2010-04-26,10399.498168418113
2010-04-27,10342.911101241565
2010-04-28,10316.457216654517
2010-04-29,10354.285409390772
2010-04-30,10312.701576076168
2010-05-03,10343.74210154694
2010-05-04,10317.757837878262
2010-05-05,10306.186199162044
2010-05-06,10293.160483869102
2010-05-07,10232.329228656085
2010-05-10,10302.492153886891
2010-05-11,10326.084645706533
2010-05-12,10406.121019578775
