timestamp,equity
2010-03-31,9999.9
2010-04-01,9992.017288043899
2010-04-05,10004.978960517767
2010-04-06,10006.68931589033
2010-04-07,10011.06555557287
2010-04-08,10008.58791699656
2010-04-09,10020.563220951075
2010-04-12,10017.731942751827
2010-04-13,10014.139896140143
2010-04-14,10030.5796080751
2010-04-15,10042.655166567494
2010-04-16,10034.00327356669
2010-04-19,10037.138744285741
2010-04-20,10041.001876904877
2010-04-21,10043.009161673088
2010-04-22,10045.74572554974
2010-04-23,10051.035623064381
2010-04-26,10054.475630473918
2010-04-27,10033.965728406454
2010-04-28,10034.87635409694
2010-04-29,10052.79584307181
2010-04-30,10030.803580881191
2010-05-03,10053.252671111417
2010-05-04,10017.471554037384
2010-05-05,10016.895085649716
2010-05-06,9976.774443841028
2010-05-07,9945.977229250993
2010-05-10,10003.238097622538
2010-05-11,9996.5328160877
2010-05-12,10026.376076100922
